,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
5652,29009903.0,within an hour,1.0,0.98,False,25,True,True,Benito JuÃ¡rez,19.39599,-99.17262,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,True,False,1900.0,1,50,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,20,0.0
5654,29011582.0,within an hour,1.0,0.98,False,25,True,True,Benito JuÃ¡rez,19.39599,-99.17262,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,True,False,1900.0,1,40,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,20,0.0
5778,29574790.0,within an hour,0.99,1.0,True,32,True,True,CuauhtÃ©moc,19.41092,-99.16882,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,True,False,1529.0,2,1125,17,111,41,4.92,4.97,4.98,4.86,4.93,5.0,4.87,f,21,2.33
6060,31054539.0,within an hour,1.0,1.0,True,5,True,True,CuauhtÃ©moc,19.40307,-99.1705,Hotel room,2,1.0,1.0,1.0,True,False,False,False,True,False,False,True,399.0,3,1125,296,133,41,4.79,4.93,4.86,4.94,4.88,4.92,4.85,t,5,2.93
6197,31307371.0,within an hour,1.0,1.0,False,12,True,True,Miguel Hidalgo,19.45618,-99.17889,Hotel room,6,1.0,1.0,1.0,True,False,False,False,True,False,True,True,600.0,1,30,85,5,1,3.8,4.0,4.6,4.2,4.2,4.4,3.4,t,12,0.12
6199,31307837.0,within an hour,1.0,1.0,False,12,True,True,Miguel Hidalgo,19.45618,-99.17889,Hotel room,4,1.0,1.0,2.0,True,False,False,False,True,False,True,True,600.0,1,30,90,1,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,t,12,0.14
6210,31311837.0,within an hour,1.0,1.0,False,12,True,True,Miguel Hidalgo,19.45618,-99.17889,Hotel room,5,1.0,1.0,2.0,True,False,False,False,True,False,True,True,600.0,1,30,350,7,2,4.29,4.43,4.43,4.14,4.29,4.29,4.43,t,12,0.16
6211,31312409.0,within an hour,1.0,1.0,False,12,True,True,Miguel Hidalgo,19.45618,-99.17889,Hotel room,6,1.0,1.0,2.0,True,False,False,False,True,False,True,True,600.0,1,30,63,6,0,3.83,4.0,4.67,4.5,4.17,4.17,4.17,t,12,0.13
6212,31312417.0,within an hour,1.0,1.0,False,12,True,True,Miguel Hidalgo,19.45618,-99.17889,Hotel room,4,1.0,1.0,1.0,True,False,False,False,True,False,True,True,600.0,1,30,95,6,1,4.5,4.67,4.5,5.0,5.0,4.83,4.67,t,12,0.15
6214,31314962.0,within an hour,1.0,1.0,False,12,True,True,Miguel Hidalgo,19.45702,-99.17842,Hotel room,3,1.0,1.0,1.0,True,False,False,False,True,False,False,False,500.0,1,30,357,4,3,4.0,3.75,4.0,4.0,4.0,3.5,4.0,t,12,0.12
6215,31315138.0,within an hour,1.0,1.0,False,12,True,True,Miguel Hidalgo,19.45618,-99.17889,Hotel room,2,1.0,1.0,1.0,True,False,False,False,True,False,True,True,500.0,1,30,363,3,3,3.33,3.0,3.67,3.33,3.33,3.33,2.67,t,12,0.28
6217,31315549.0,within an hour,1.0,1.0,False,12,True,True,Miguel Hidalgo,19.45618,-99.17889,Hotel room,2,1.0,1.0,1.0,True,False,False,False,True,False,True,True,500.0,1,30,360,10,10,4.5,4.6,4.7,4.4,4.6,4.4,4.3,t,12,0.92
6218,31315704.0,within an hour,1.0,1.0,False,12,True,True,Miguel Hidalgo,19.45618,-99.17889,Hotel room,3,1.0,1.0,1.0,True,False,False,False,True,False,True,True,500.0,1,30,365,1,0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,t,12,0.03
6220,31315705.0,within an hour,1.0,1.0,False,12,True,True,Miguel Hidalgo,19.45618,-99.17889,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,True,True,400.0,1,30,0,2,0,4.0,4.0,5.0,4.0,3.0,4.0,4.5,t,12,0.06
6222,31315726.0,within an hour,1.0,1.0,False,12,True,True,Miguel Hidalgo,19.45618,-99.17889,Hotel room,4,1.0,1.0,2.0,True,False,False,False,True,False,True,True,500.0,1,30,348,3,3,5.0,5.0,5.0,5.0,5.0,5.0,4.67,t,12,0.57
6223,31315727.0,within an hour,1.0,1.0,False,12,True,True,Miguel Hidalgo,19.45618,-99.17889,Hotel room,2,1.0,1.0,1.0,True,False,False,False,True,False,True,True,500.0,1,30,358,13,4,4.54,4.85,4.31,4.92,4.77,4.77,4.38,t,12,0.3
6244,31557538.0,within an hour,0.9,1.0,False,4,True,False,Benito JuÃ¡rez,19.39385,-99.17739,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,True,True,2000.0,1,60,365,2,1,4.5,5.0,5.0,5.0,5.0,5.0,5.0,t,4,0.05
6301,31410452.0,within an hour,1.0,0.99,True,3,True,True,CuauhtÃ©moc,19.41741,-99.1749,Hotel room,4,1.0,2.0,2.0,True,False,False,True,False,False,False,True,1100.0,1,1125,162,116,72,4.77,4.91,4.88,4.97,4.78,4.97,4.83,t,3,2.58
6356,31468145.0,within a few hours,1.0,0.82,True,7,True,True,Miguel Hidalgo,19.42512,-99.22236,Hotel room,1,1.0,1.0,1.0,True,False,False,False,False,False,True,True,500.0,1,360,365,34,24,4.65,4.74,4.56,4.85,4.62,5.0,4.76,f,7,1.08
6450,32105928.0,within an hour,1.0,1.0,True,7,True,True,CoyoacÃ¡n,19.34856,-99.16461,Hotel room,4,1.0,1.0,2.0,True,False,False,True,False,False,True,True,2100.0,1,365,303,23,11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,7,0.53
6540,32010326.0,unknown,0.0,0.5,False,5,True,True,Benito JuÃ¡rez,19.36973,-99.18815,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,1190.0,1,152,365,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,5,0.02
6597,32343685.0,within an hour,1.0,1.0,True,7,True,True,CuauhtÃ©moc,19.43333,-99.13457,Hotel room,2,1.0,1.0,1.0,True,False,False,False,False,False,True,True,2909.0,1,370,326,7,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,7,0.28
6601,32526275.0,within an hour,1.0,1.0,True,1,True,True,Tlalpan,19.2777,-99.20498,Hotel room,3,1.0,2.0,2.0,True,False,False,False,False,False,False,False,501.0,3,30,150,48,13,4.85,4.94,4.81,4.88,4.83,4.77,4.96,t,1,1.2
6603,32527606.0,within an hour,1.0,1.0,True,37,True,True,CuauhtÃ©moc,19.42429,-99.17142,Hotel room,2,1.0,2.0,1.0,True,False,False,False,False,False,True,False,1994.0,1,1125,357,3,0,4.67,4.67,5.0,5.0,5.0,5.0,4.67,t,15,0.11
6608,32356379.0,within an hour,0.9,1.0,False,4,True,False,Benito JuÃ¡rez,19.39404,-99.17642,Hotel room,2,1.0,1.0,1.0,True,False,False,False,True,False,True,False,2400.0,1,365,365,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,4,0.04
6610,32356565.0,within an hour,0.9,1.0,False,4,True,False,Benito JuÃ¡rez,19.39374,-99.17624,Hotel room,2,1.0,1.0,1.0,True,False,False,False,True,False,True,False,1770.0,1,365,365,3,2,5.0,5.0,5.0,5.0,4.67,5.0,4.67,t,4,0.07
6611,32356600.0,within an hour,0.9,1.0,False,4,True,False,Benito JuÃ¡rez,19.39195,-99.17586,Hotel room,2,1.0,1.0,2.0,True,False,False,False,True,False,True,False,1770.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,t,4,0.0
6765,32835685.0,within an hour,1.0,0.97,False,1,True,True,CoyoacÃ¡n,19.33961,-99.14962,Hotel room,2,1.0,1.0,1.0,True,False,False,False,True,False,False,True,200.0,2,1125,362,26,20,4.5,4.62,4.23,4.77,4.73,4.88,4.73,f,1,0.71
6772,32842972.0,within an hour,1.0,1.0,False,112,True,True,CuauhtÃ©moc,19.43965,-99.14448,Hotel room,1,1.5,1.0,1.0,True,False,False,False,True,False,True,True,270.0,1,1125,362,18,2,4.61,4.83,4.17,4.89,4.56,4.67,4.61,t,23,0.42
6774,32843504.0,within an hour,1.0,1.0,False,112,True,True,CuauhtÃ©moc,19.44077,-99.14593,Hotel room,1,1.5,1.0,1.0,True,False,False,False,True,False,True,True,284.0,1,1125,361,62,36,4.61,4.74,4.39,4.76,4.71,4.77,4.69,t,23,1.44
6776,32843672.0,within an hour,1.0,1.0,False,112,True,True,CuauhtÃ©moc,19.44062,-99.14394,Hotel room,1,1.0,1.0,1.0,True,False,False,False,True,False,True,True,270.0,1,1125,362,47,7,4.62,4.79,4.53,4.87,4.64,4.72,4.68,t,23,1.1
6778,32843914.0,within an hour,1.0,1.0,False,112,True,True,CuauhtÃ©moc,19.4395,-99.14378,Hotel room,1,1.5,1.0,1.0,True,False,False,False,True,False,True,True,271.0,1,1125,345,36,16,4.81,4.92,4.67,4.89,4.94,4.81,4.92,t,23,0.84
6781,32844871.0,within an hour,1.0,1.0,False,112,True,True,CuauhtÃ©moc,19.44028,-99.14596,Hotel room,1,1.5,1.0,1.0,True,False,False,False,True,False,True,True,271.0,1,1125,360,7,2,4.43,4.71,4.29,4.86,4.86,4.57,4.43,t,23,0.16
6784,32845239.0,within an hour,1.0,1.0,False,112,True,True,CuauhtÃ©moc,19.44114,-99.14458,Hotel room,1,1.0,1.0,1.0,True,False,False,False,True,False,True,True,276.0,1,1125,356,66,6,4.62,4.88,4.39,4.94,4.89,4.83,4.73,t,23,1.55
6828,33098438.0,within a day,0.5,1.0,False,2,True,True,Benito JuÃ¡rez,19.39733,-99.16572,Hotel room,4,2.5,2.0,2.0,True,False,False,False,False,False,False,True,1000.0,30,365,87,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,f,1,0.0
