,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
13505,49228700.0,within an hour,1.0,1.0,False,112,True,True,CuauhtÃ©moc,19.43944,-99.1442,Shared room,1,1.5,1.0,1.0,True,False,False,False,True,False,True,False,700.0,1,365,360,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,23,0.0
13506,49229576.0,within an hour,1.0,1.0,False,112,True,True,CuauhtÃ©moc,19.44119,-99.14429,Shared room,1,1.0,1.0,1.0,False,False,False,False,True,False,False,False,650.0,1,365,359,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,23,0.0
13508,49229590.0,within an hour,1.0,1.0,False,112,True,True,CuauhtÃ©moc,19.43917,-99.14523,Shared room,1,1.5,1.0,1.0,True,False,False,False,True,False,True,False,784.0,1,365,356,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,23,0.0
13517,49231542.0,within an hour,1.0,1.0,True,6,True,True,CuauhtÃ©moc,19.44917,-99.16241,Shared room,10,3.0,1.0,9.0,True,False,False,False,True,False,True,True,330.0,2,1125,365,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,6,0.1
13539,49256191.0,within an hour,1.0,1.0,True,6,True,True,CuauhtÃ©moc,19.44819,-99.16212,Shared room,12,3.0,1.0,9.0,True,False,False,False,True,False,True,True,330.0,2,1125,364,2,2,4.0,4.0,4.5,4.0,5.0,4.5,4.0,False,6,0.19
13550,49372317.0,within a few hours,1.0,1.0,True,1,True,False,CuauhtÃ©moc,19.423716,-99.142693,Shared room,3,1.0,1.0,1.0,True,False,True,True,True,False,False,False,779.0,1,1125,365,14,8,4.93,4.93,4.79,4.71,5.0,4.86,4.79,True,1,0.86
13574,49400584.0,unknown,0.0,0.0,False,1,True,True,Iztacalco,19.40254,-99.07303,Shared room,2,1.0,1.0,1.0,True,False,False,False,True,False,True,True,780.0,7,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
13617,49321916.0,within an hour,1.0,1.0,False,112,True,True,CuauhtÃ©moc,19.44117,-99.14447,Shared room,1,1.5,1.0,1.0,False,False,False,False,True,False,False,True,312.0,1,1125,362,27,21,4.41,4.44,4.22,4.48,4.37,4.78,4.7,True,23,1.6
13724,49761795.0,a few days or more,0.0,0.0,False,1,True,True,Tlalpan,19.29948,-99.164,Shared room,5,1.0,1.0,2.0,True,False,False,False,True,False,False,True,350.0,1,365,87,1,0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,False,1,0.06
13738,49778181.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.46386,-99.14554,Shared room,1,2.5,1.0,1.0,True,False,False,True,True,False,False,False,201.0,28,365,365,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,76,0.07
13769,49816356.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.46279,-99.14545,Shared room,1,2.5,1.0,1.0,True,False,False,True,True,False,False,True,200.0,28,365,357,2,1,5.0,5.0,4.5,5.0,5.0,5.0,5.0,False,76,0.14
13770,49817362.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.4595,-99.14834,Shared room,1,3.0,1.0,1.0,True,False,False,False,True,False,False,False,200.0,28,365,359,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,76,0.08
13896,49978245.0,a few days or more,0.0,1.0,False,1,True,True,Benito JuÃ¡rez,19.37616,-99.1401,Shared room,1,1.0,1.0,0.0,True,False,False,False,False,False,False,False,600.0,1,1125,348,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
13931,50105074.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.46124,-99.148,Shared room,1,3.0,1.0,1.0,True,False,False,False,True,False,False,False,200.0,28,365,365,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,76,0.07
13934,50105686.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.45942,-99.14642,Shared room,1,3.0,1.0,1.0,True,False,False,False,True,False,False,False,200.0,28,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,76,0.0
13938,50106762.0,within a few hours,0.98,0.9,True,76,True,True,CuauhtÃ©moc,19.46126,-99.14805,Shared room,1,3.0,1.0,1.0,True,False,False,False,True,False,False,False,200.0,28,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,76,0.0
14003,50154238.0,within an hour,0.99,1.0,False,4,True,True,CuauhtÃ©moc,19.41963,-99.16922,Shared room,4,1.0,1.0,2.0,True,False,True,True,True,False,True,True,961.0,1,365,348,86,61,4.7,4.71,4.76,4.86,4.79,4.91,4.85,True,4,5.49
