,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
10084,29094612.0,within an hour,1.0,0.4,False,4.0,True,False,Copacabana,-22.98325,-43.19492,Hotel room,2,1.0,1.0,1.0,"[""Air conditioning"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Iron"", ""Essentials"", ""First aid kit"", ""Pool"", ""Shampoo"", ""Security cameras on property"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""TV""]",True,False,False,False,False,False,True,True,365,1,1125,88,9,2,4.78,4.44,4.89,5.0,4.78,4.44,4.56,False,4,0.19
10221,28915193.0,within an hour,1.0,1.0,False,7.0,True,False,Gamboa,-22.89888,-43.18959,Hotel room,4,1.0,1.0,4.0,"[""Air conditioning"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Ethernet connection"", ""Refrigerator"", ""Wifi"", ""Crib"", ""Long term stays allowed"", ""TV""]",True,False,False,False,False,False,False,False,312,1,1125,0,42,0,4.48,4.81,4.64,4.81,4.74,3.71,4.55,True,3,0.88
10360,30009560.0,within a few hours,1.0,0.81,False,15.0,True,True,Santa Teresa,-22.91706,-43.18446,Hotel room,3,1.0,1.0,2.0,"[""Bed linens"", ""Air conditioning"", ""Fire extinguisher"", ""Hangers"", ""Dryer"", ""Free street parking"", ""Cooking basics"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Washer"", ""Pool"", ""Shampoo"", ""Lockbox"", ""Hot water"", ""Wifi"", ""Crib"", ""Long term stays allowed"", ""Backyard"", ""Elevator""]",True,False,False,False,False,False,False,False,9999,1,30,0,20,0,4.65,4.7,4.9,4.7,4.6,4.8,4.8,True,10,0.44
10364,30013012.0,within a few hours,1.0,0.81,False,15.0,True,True,Santa Teresa,-22.9152,-43.18404,Hotel room,2,1.0,1.0,1.0,"[""Dryer"", ""Free street parking"", ""Iron"", ""Essentials"", ""Washer"", ""Smoke alarm"", ""Elevator"", ""Bed linens"", ""Cooking basics"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Wifi"", ""Lockbox"", ""Hangers"", ""Beachfront"", ""Crib"", ""Air conditioning"", ""Fire extinguisher"", ""First aid kit"", ""Long term stays allowed"", ""Backyard"", ""Shared pool""]",True,False,False,False,False,False,True,False,9999,1,30,0,9,0,5.0,5.0,5.0,5.0,5.0,4.67,5.0,True,10,0.21
10367,30013470.0,within a few hours,1.0,0.81,False,15.0,True,True,Santa Teresa,-22.91539,-43.1843,Hotel room,3,1.0,1.0,2.0,"[""Air conditioning"", ""Fire extinguisher"", ""Hangers"", ""Dryer"", ""Shared fenced garden or backyard"", ""Cooking basics"", ""Hair dryer"", ""Free street parking"", ""Essentials"", ""Washer"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Shampoo"", ""Lockbox"", ""Wifi"", ""Crib"", ""Dishes and silverware"", ""Long term stays allowed"", ""Elevator"", ""Shared pool""]",True,False,False,False,False,False,False,False,9713,3,30,0,3,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,True,10,0.08
10474,29907291.0,within an hour,1.0,0.96,True,1.0,True,True,Leblon,-22.98433,-43.22156,Hotel room,4,1.0,1.0,2.0,"[""Dryer"", ""Free street parking"", ""Essentials"", ""Microwave"", ""Room-darkening shades"", ""Kitchen"", ""Elevator"", ""Bed linens"", ""Cooking basics"", ""Hair dryer"", ""Oven"", ""Wifi"", ""TV with standard cable"", ""Free parking on premises"", ""Cable TV"", ""Hangers"", ""Refrigerator"", ""Drying rack for clothing"", ""Gym"", ""Air conditioning"", ""Fire extinguisher"", ""Coffee maker"", ""Hot water"", ""Private patio or balcony"", ""Dishes and silverware"", ""Long term stays allowed"", ""Stove"", ""Shared pool""]",True,False,False,True,False,False,False,False,500,3,90,233,37,13,4.78,4.92,4.84,5.0,4.86,5.0,4.73,True,1,0.82
10492,30392185.0,unknown,0.0,0.5,False,3.0,True,False,Botafogo,-22.94713,-43.18522,Hotel room,2,1.0,1.0,1.0,"[""Essentials"", ""Microwave"", ""Room-darkening shades"", ""Window guards"", ""Bed linens"", ""Luggage dropoff allowed"", ""Security cameras on property"", ""Wifi"", ""BBQ grill"", ""TV"", ""Body soap"", ""Paid parking off premises"", ""Hangers"", ""Laundromat nearby"", ""Refrigerator"", ""Board games"", ""Ceiling fan"", ""Outdoor furniture"", ""Safe"", ""Patio or balcony"", ""Sound system"", ""Air conditioning"", ""Fire extinguisher"", ""Outdoor dining area"", ""Hot water"", ""Pool table"", ""Dishes and silverware"", ""Backyard"", ""Long term stays allowed""]",True,False,False,False,False,False,False,True,160,1,365,144,19,0,4.21,4.53,4.26,4.79,4.79,5.0,4.26,True,3,0.43
10496,30392586.0,unknown,0.0,0.5,False,3.0,True,False,Botafogo,-22.947,-43.18508,Hotel room,4,1.0,1.0,3.0,"[""Paid parking off premises"", ""Air conditioning"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Essentials"", ""Microwave"", ""Room-darkening shades"", ""Refrigerator"", ""Building staff"", ""Security cameras on property"", ""Hot water"", ""Wifi"", ""BBQ grill"", ""Dishes and silverware"", ""Backyard"", ""Long term stays allowed"", ""Patio or balcony"", ""TV""]",True,False,False,False,False,False,False,True,220,1,365,143,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,3,0.06
10724,30753217.0,within an hour,1.0,1.0,False,4.0,True,True,Taquara,-22.94293,-43.37137,Hotel room,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""Iron"", ""Essentials"", ""Elevator"", ""Bed linens"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Wifi"", ""BBQ grill"", ""TV with standard cable"", ""Free parking on premises"", ""Cable TV"", ""Hangers"", ""Extra pillows and blankets"", ""Shared gym"", ""Refrigerator"", ""Building staff"", ""Paid dryer \u2013 In building"", ""Coffee maker"", ""AC - split type ductless system"", ""Shared patio or balcony"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Backyard"", ""Shared pool""]",True,False,False,True,True,False,False,False,160,3,1125,162,25,5,4.68,4.72,4.6,4.88,4.84,4.8,4.76,True,3,0.55
11737,33907909.0,within a few hours,1.0,0.99,False,34.0,True,True,Barra da Tijuca,-23.00545,-43.34148,Hotel room,3,1.0,2.0,2.0,"[""Heating"", ""Air conditioning"", ""Hangers"", ""Elevator"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Laundromat nearby"", ""Building staff"", ""Beachfront"", ""Shared patio or balcony"", ""Hot water"", ""Wifi"", ""Long term stays allowed"", ""Backyard"", ""Mini fridge"", ""Shared pool"", ""TV""]",True,False,False,False,False,False,False,False,360,3,185,272,128,38,4.49,4.72,4.47,4.79,4.7,4.77,4.59,True,24,3.07
