,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
21152,6.84e+17,within a few hours,0.94,0.98,True,3,True,True,Gustavo A. Madero,19.48633,-99.10065,Entire home/apt,4,1.0,2.0,2.0,True,True,False,False,True,False,True,True,580.0,2,1125,358,7,7,4.57,5.0,4.57,5.0,4.86,4.86,4.71,False,3,4.38
21154,6.84e+17,within an hour,1.0,0.99,True,4,True,True,CuauhtÃ©moc,19.41969038,-99.15945007,Entire home/apt,3,1.0,1.0,2.0,True,False,True,False,True,False,False,False,1129.0,2,90,6,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,4,1.0
21155,6.85e+17,within an hour,0.7,0.48,False,1,True,True,Miguel Hidalgo,19.43237834,-99.18765291,Entire home/apt,3,1.5,1.0,1.0,True,False,False,False,False,False,True,True,1200.0,4,60,300,1,1,5.0,5.0,4.0,5.0,4.0,5.0,5.0,False,1,1.0
21156,6.85e+17,within an hour,0.99,1.0,True,17,True,True,CuauhtÃ©moc,19.411146,-99.1718013,Entire home/apt,2,1.0,1.0,1.0,True,False,True,False,False,False,True,True,4060.0,1,365,342,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,17,1.0
21158,6.85e+17,within an hour,1.0,1.0,False,2,True,True,Gustavo A. Madero,19.45536574,-99.06788657,Entire home/apt,4,2.0,2.0,2.0,True,False,False,False,True,False,False,True,871.0,2,365,360,4,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,2,3.0
21160,6.85e+17,within an hour,0.9,0.6,False,1,True,True,Benito JuÃ¡rez,19.36539487,-99.16085246,Entire home/apt,5,2.0,2.0,2.0,False,False,True,False,True,False,False,False,1100.0,1,365,78,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,1.0
21161,6.84e+17,within an hour,1.0,0.63,False,1,True,True,Venustiano Carranza,19.4407819,-99.11183056,Entire home/apt,16,4.0,4.0,15.0,True,False,True,False,True,False,False,True,700.0,1,1125,352,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,1.0
21162,6.85e+17,within an hour,1.0,1.0,True,3,True,True,CuauhtÃ©moc,19.4132396,-99.1738667,Entire home/apt,2,2.5,1.0,1.0,True,False,False,False,True,False,False,False,11882.0,3,30,63,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,3,0.0
21165,6.85e+17,within an hour,1.0,1.0,False,23,True,False,CuauhtÃ©moc,19.43820363,-99.13553777,Entire home/apt,2,1.0,1.0,1.0,True,False,True,False,False,False,False,False,583.0,2,365,329,5,5,4.8,4.8,5.0,4.6,5.0,4.8,5.0,True,13,3.75
21166,6.84e+17,within an hour,1.0,0.0,False,1,True,True,La Magdalena Contreras,19.30985017,-99.23486508,Entire home/apt,2,1.0,1.0,4.0,True,False,False,False,True,False,False,False,700.0,1,365,361,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
21167,6.85e+17,within an hour,1.0,1.0,False,8,True,True,CuauhtÃ©moc,19.41498275,-99.1728206,Entire home/apt,2,1.0,1.0,1.0,False,False,False,False,True,False,False,False,1232.0,3,20,19,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,2.0
21168,6.85e+17,within an hour,0.89,1.0,False,1,True,True,CuauhtÃ©moc,19.40771888,-99.15929517,Entire home/apt,2,1.0,1.0,1.0,True,False,False,False,True,False,False,False,900.0,1,365,332,3,3,4.67,5.0,4.67,4.67,4.67,5.0,4.67,True,1,2.0
21170,6.85e+17,within an hour,1.0,0.83,False,1,True,False,Miguel Hidalgo,19.44438251,-99.20047237,Entire home/apt,2,1.0,1.0,1.0,True,False,True,False,True,False,True,False,1563.0,3,1125,350,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,2.0
21171,6.85e+17,within a few hours,1.0,1.0,False,1,True,True,Miguel Hidalgo,19.41447306,-99.1833394,Entire home/apt,3,1.5,2.0,3.0,True,False,True,False,False,False,False,False,957.0,4,365,142,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.86
21173,6.85e+17,unknown,0.0,0.0,False,1,True,False,CoyoacÃ¡n,19.32061443,-99.10497057,Entire home/apt,4,1.0,2.0,3.0,True,False,False,False,True,False,False,False,800.0,3,365,350,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
21174,6.85e+17,unknown,0.0,0.0,False,1,True,True,CuauhtÃ©moc,19.43535286,-99.14606492,Entire home/apt,6,1.0,2.0,3.0,True,False,False,False,True,False,False,False,8000.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
21175,6.85e+17,within an hour,1.0,1.0,True,5,True,True,CuauhtÃ©moc,19.43209714,-99.16855797,Entire home/apt,5,1.5,2.0,2.0,False,False,False,False,True,False,True,True,1200.0,2,365,175,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,5,0.0
21176,6.85e+17,within an hour,0.99,1.0,False,56,True,True,Benito JuÃ¡rez,19.39129115,-99.17894035,Entire home/apt,7,1.0,3.0,4.0,True,False,False,False,False,False,False,False,466.0,2,365,333,4,4,4.5,5.0,4.5,4.75,3.75,4.75,4.5,True,56,2.5
21177,6.85e+17,within an hour,1.0,0.99,True,14,True,True,CuauhtÃ©moc,19.41641206,-99.15737942,Entire home/apt,2,1.0,1.0,1.0,False,False,True,True,True,False,False,False,1480.0,2,365,310,1,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,True,10,0.67
21178,6.85e+17,within an hour,1.0,1.0,False,2,True,True,Benito JuÃ¡rez,19.39338087,-99.17446947,Entire home/apt,4,2.0,2.0,2.0,False,False,False,False,True,False,False,False,2500.0,1,1125,360,5,5,4.8,5.0,5.0,5.0,5.0,5.0,4.8,True,1,3.49
21182,6.85e+17,within an hour,1.0,1.0,False,1,True,True,CuauhtÃ©moc,19.43015687,-99.15016623,Entire home/apt,2,1.5,1.0,1.0,True,False,True,False,False,False,False,True,1498.0,1,1125,201,3,3,5.0,5.0,4.67,5.0,5.0,5.0,5.0,False,1,3.0
21183,6.85e+17,within an hour,1.0,1.0,False,5,True,True,CuauhtÃ©moc,19.4338639,-99.1482692,Entire home/apt,2,1.0,1.0,2.0,True,False,False,False,False,False,False,True,800.0,2,365,348,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,5,2.37
21184,6.85e+17,within an hour,1.0,0.99,False,38,True,True,CuauhtÃ©moc,19.41624953,-99.16917443,Entire home/apt,2,1.0,1.0,1.0,True,True,False,False,True,False,False,False,786.0,1,1125,363,7,7,4.29,4.0,4.29,4.43,4.43,4.29,4.29,True,32,4.29
21185,6.85e+17,within an hour,1.0,1.0,True,12,True,True,CuauhtÃ©moc,19.42209,-99.1585,Entire home/apt,5,2.0,2.0,4.0,True,False,True,True,True,True,False,False,1156.0,2,90,161,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,12,3.0
21186,6.85e+17,within an hour,1.0,1.0,True,7,True,True,CuauhtÃ©moc,19.4138359,-99.16797515,Entire home/apt,4,1.0,2.0,3.0,False,False,False,False,True,False,True,False,2197.0,1,365,0,11,11,5.0,5.0,4.91,4.91,5.0,5.0,4.91,True,6,8.25
21188,6.85e+17,within an hour,1.0,1.0,False,1,True,True,Miguel Hidalgo,19.42926763,-99.17403143,Entire home/apt,2,1.0,1.0,1.0,True,True,False,False,True,False,False,False,861.0,3,12,146,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,2.0
21190,6.85e+17,within an hour,1.0,1.0,False,57,True,True,Ãlvaro ObregÃ³n,19.36115393,-99.17996998,Entire home/apt,5,2.5,3.0,4.0,True,False,False,False,True,False,False,False,2500.0,1,365,329,1,1,5.0,5.0,4.0,5.0,5.0,5.0,4.0,True,30,1.0
21191,6.85e+17,within an hour,1.0,0.99,False,38,True,True,CuauhtÃ©moc,19.404623,-99.166224,Entire home/apt,4,2.0,2.0,3.0,True,True,True,False,True,False,False,False,1223.0,1,1125,357,2,2,4.5,5.0,5.0,5.0,5.0,5.0,4.5,True,32,2.0
