,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
23840,6.78e+17,within an hour,1.0,0.78,False,2.0,True,True,Centro,-22.9151153,-43.1880555,Shared room,2,1.5,1.0,1.0,"[""Hair dryer"", ""Iron"", ""50\"" HDTV"", ""Fast wifi \u2013 253 Mbps"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Dishes and silverware"", ""Kitchen""]",False,False,False,False,False,False,False,False,75,2,365,89,2,2,5.0,5.0,5.0,5.0,5.0,4.5,5.0,False,2,2.0
23845,6.8e+17,within a day,0.5,1.0,False,5.0,True,True,Botafogo,-22.954546,-43.1940298,Shared room,1,4.0,1.0,8.0,"[""Bed linens"", ""Air conditioning"", ""Electric stove"", ""Cooking basics"", ""Essentials"", ""Microwave"", ""Refrigerator"", ""Building staff"", ""Security cameras on property"", ""Shared patio or balcony"", ""Game console: PS4"", ""Wifi"", ""Long term stays allowed"", ""Dishes and silverware"", ""Kitchen"", ""TV""]",True,False,False,False,False,False,False,True,62,1,365,365,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,5,1.0
23851,6.78e+17,within an hour,1.0,0.83,False,3.0,True,False,JacarepaguÃ¡,-22.9649535,-43.4058708,Shared room,2,1.5,1.0,1.0,"[""Pool"", ""Wifi"", ""Free parking on premises"", ""Kitchen""]",True,False,False,False,False,False,False,False,320,1,10,0,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,False,3,0.0
23934,6.85e+17,within an hour,0.96,1.0,False,5.0,True,True,Sampaio,-22.9020874,-43.259667,Shared room,8,1.0,1.0,4.0,"[""Fire extinguisher"", ""Paid parking on premises"", ""First aid kit"", ""Washer"", ""Wifi"", ""Outdoor shower"", ""BBQ grill"", ""Long term stays allowed"", ""Kitchen"", ""TV""]",True,False,False,False,False,False,False,False,100,1,365,365,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,5,0.0
24044,6.85e+17,within an hour,0.96,1.0,False,5.0,True,True,Sampaio,-22.9022741,-43.2592212,Shared room,15,2.0,1.0,10.0,"[""Fire extinguisher"", ""Backyard"", ""Paid parking on premises"", ""Dedicated workspace"", ""First aid kit"", ""Washer"", ""Coffee maker"", ""Refrigerator"", ""Outdoor dining area"", ""Wifi"", ""Outdoor shower"", ""BBQ grill"", ""Dishes and silverware"", ""Kitchen"", ""Long term stays allowed"", ""Patio or balcony"", ""TV""]",True,False,False,False,True,False,False,False,53,1,365,355,1,1,5.0,5.0,5.0,5.0,5.0,4.0,4.0,True,5,0.75
24174,6.9e+17,within a few hours,0.8,0.67,False,2.0,True,True,Vidigal,-22.99496,-43.23687,Shared room,3,2.0,1.0,3.0,"[""Backyard"", ""Dedicated workspace"", ""Essentials"", ""Kitchen"", ""Clothing storage"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Shampoo"", ""Wifi"", ""BBQ grill"", ""Waterfront"", ""Freezer"", ""Body soap"", ""Kayak"", ""Board games"", ""HDTV"", ""Drying rack for clothing"", ""Patio or balcony"", ""Hot water kettle"", ""Portable fans"", ""Cleaning products"", ""Outdoor dining area"", ""Outdoor shower"", ""Long term stays allowed"", ""Dishes and silverware"", ""Rice maker"", ""Stove""]",True,False,True,False,True,False,False,False,85,1,365,364,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,2,0.0
24218,6.9e+17,within an hour,1.0,1.0,False,1.0,True,True,Cosmos,-22.91809,-43.61655,Shared room,1,1.0,1.0,2.0,"[""Stainless steel oven"", ""Private pool - available all year, open specific hours"", ""Dedicated workspace"", ""Free street parking"", ""Iron"", ""Essentials"", ""Microwave"", ""Room-darkening shades"", ""Dining table"", ""Toaster"", ""Smoke alarm"", ""Kitchen"", ""Private fenced garden or backyard"", ""Free dryer \u2013 In unit"", ""Bed linens"", ""Fast wifi \u2013 311 Mbps"", ""Cooking basics"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""Cleaning before checkout"", ""Security cameras on property"", ""Clothing storage: wardrobe"", ""BBQ grill"", ""Wine glasses"", ""Freezer"", ""Free parking garage on premises \u2013 1 space"", ""Hangers"", ""Free washer \u2013 In unit"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Beachfront"", ""Electrolux  refrigerator"", ""Central air conditioning"", ""Paid street parking off premises"", ""Hot water kettle"", ""Fire extinguisher"", ""Portable fans"", ""First aid kit"", ""Lux ou dove body soap"", ""55\"" HDTV with Netflix, premium cable, Amazon Prime Video, HBO Max"", ""Coffee maker"", ""Sound system with Bluetooth and aux"", ""Baking sheet"", ""Cleaning products"", ""Barbecue utensils"", ""Hot water"", ""Outdoor shower"", ""Long term stays allowed"", ""Dishes and silverware"", ""Cooptok 4 bocas  gas stove""]",False,False,True,False,True,False,True,True,130,1,1125,345,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,2.0
24231,6.88e+17,within a day,0.6,0.56,False,2.0,True,True,Freguesia (JacarepaguÃ¡),-22.9346221,-43.3343801,Shared room,2,1.0,1.0,2.0,"[""Dryer"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Washer"", ""Host greets you"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Smoke alarm"", ""Hot water"", ""Outdoor shower"", ""BBQ grill"", ""Long term stays allowed"", ""Kitchen"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Shared pool"", ""Wifi \u2013 41 Mbps"", ""Body soap""]",True,False,False,False,True,False,True,False,200,1,365,364,2,2,5.0,4.5,5.0,5.0,5.0,5.0,5.0,False,2,2.0
24250,6.9e+17,within a day,1.0,0.5,False,1.0,True,True,Copacabana,-22.96684,-43.1793327,Shared room,1,1.0,1.0,1.0,"[""Iron"", ""Essentials"", ""Dining table"", ""Microwave"", ""Kitchen"", ""Elevator"", ""Bed linens"", ""Luggage dropoff allowed"", ""Shampoo"", ""Clothing storage: wardrobe"", ""Wifi"", ""Freezer"", ""TV"", ""Body soap"", ""Extra pillows and blankets"", ""Refrigerator"", ""Ceiling fan"", ""Drying rack for clothing"", ""Cleaning products"", ""Hot water"", ""Dishes and silverware""]",True,False,True,False,False,False,False,False,58,1,3,329,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,False,1,0.0
24368,6.91e+17,within an hour,1.0,0.83,False,1.0,True,True,Copacabana,-22.9853066,-43.1901835,Shared room,3,1.0,1.0,2.0,"[""Iron"", ""Essentials"", ""Microwave"", ""Room-darkening shades"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Bed linens"", ""Cooking basics"", ""Hair dryer"", ""Cleaning before checkout"", ""Security cameras on property"", ""Oven"", ""Wifi"", ""Cable TV"", ""Laundromat nearby"", ""Refrigerator"", ""40\"" TV with Amazon Prime Video, Apple TV, standard cable, premium cable"", ""Drying rack for clothing"", ""Portable fans"", ""Baking sheet"", ""Coffee maker"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove""]",True,False,False,True,False,False,False,True,124,2,1125,360,2,2,5.0,5.0,5.0,5.0,5.0,5.0,4.5,True,1,2.0
