,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
19615,6.38e+17,within an hour,1.0,1.0,True,8,True,True,CuauhtÃ©moc,19.4406,-99.16221,Private room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,470.0,2,1125,161,5,5,5.0,5.0,5.0,4.8,5.0,4.6,5.0,False,8,1.76
19617,6.4e+17,within a few hours,1.0,0.5,False,2,True,True,CuauhtÃ©moc,19.43392,-99.12628,Private room,2,2.0,2.0,2.0,True,False,False,False,True,False,False,True,999.0,1,365,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,2,0.0
19618,6.4e+17,within an hour,1.0,0.96,False,5,True,True,Xochimilco,19.27598,-99.11567,Private room,2,1.0,1.0,1.0,True,True,True,True,True,False,False,True,364.0,2,30,69,5,5,5.0,5.0,5.0,4.6,5.0,5.0,5.0,False,5,1.69
19620,6.4e+17,a few days or more,0.43,0.67,False,3,True,False,Miguel Hidalgo,19.4423077,-99.1837347,Private room,2,1.0,1.0,1.0,True,False,False,False,True,False,True,False,847.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
19621,6.39e+17,within an hour,0.88,0.67,False,2,True,True,Venustiano Carranza,19.40867,-99.12463,Private room,1,1.0,1.0,1.0,False,False,True,False,True,False,False,False,206.0,1,15,295,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
19622,6.4e+17,within an hour,1.0,1.0,False,3,True,True,Benito JuÃ¡rez,19.4033433,-99.151046,Private room,2,1.0,1.0,1.0,True,False,False,False,True,False,False,True,550.0,2,365,333,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,3,0.0
19627,6.41e+17,within an hour,1.0,1.0,True,4,True,True,Miguel Hidalgo,19.42668,-99.22456,Private room,5,2.0,2.0,2.0,True,True,True,False,True,False,True,False,2548.0,1,365,353,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,4,0.0
19629,6.41e+17,within an hour,1.0,1.0,False,1,True,True,Benito JuÃ¡rez,19.39949,-99.15547,Private room,2,1.0,1.0,1.0,True,False,False,False,True,False,False,True,900.0,1,3,89,4,4,4.75,5.0,4.75,5.0,4.75,5.0,5.0,True,1,1.09
19631,6.39e+17,within an hour,1.0,1.0,False,1,True,True,CuauhtÃ©moc,19.4418,-99.15764,Private room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,500.0,2,30,349,1,1,5.0,4.0,5.0,5.0,5.0,4.0,4.0,False,1,0.42
19634,6.41e+17,within an hour,1.0,1.0,False,1,True,True,CuauhtÃ©moc,19.42056,-99.1732,Private room,2,1.0,1.0,1.0,True,False,False,False,False,False,False,False,699.0,3,1125,348,3,3,5.0,4.67,5.0,5.0,5.0,4.67,5.0,True,1,0.87
