,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,wifi,private_entrance,closet,cable_tv,dedicated_workspace,smart_lock,smoke_alarm,security_cameras,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
21852,6.07e+17,within a few hours,0.9,0.8,False,3.0,True,True,Laranjeiras,-22.93946,-43.19193,Private room,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""Iron"", ""Essentials"", ""Microwave"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Bed linens"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Oven"", ""Wifi"", ""Wine glasses"", ""Body soap"", ""Shared fenced garden or backyard"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Refrigerator"", ""Ceiling fan"", ""Air conditioning"", ""Coffee maker"", ""Cleaning products"", ""Shared patio or balcony"", ""Hot water"", ""Outdoor shower"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove""]",True,False,False,False,True,False,False,False,273,3,365,363,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,False,3,0.0
21856,6.02e+17,within an hour,1.0,1.0,False,2.0,True,True,JacarepaguÃ¡,-22.9676,-43.38914,Private room,2,1.0,1.0,1.0,"[""HDTV with premium cable"", ""Dedicated workspace"", ""Free street parking"", ""Iron"", ""Essentials"", ""Private gym in building"", ""Window guards"", ""Ping pong table"", ""Lock on bedroom door"", ""Wifi"", ""Wine glasses"", ""Mini fridge"", ""Shared sauna"", ""Hangers"", ""Laundromat nearby"", ""Ceiling fan"", ""Shared indoor pool - available all year, open specific hours"", ""Air conditioning"", ""Phebo body soap"", ""Coffee maker"", ""Cleaning products"", ""Hot water"", ""Pool table"", ""Dishes and silverware"", ""Long term stays allowed"", ""Nespresso machine""]",True,False,False,False,True,False,False,False,220,2,1125,26,4,4,5.0,5.0,5.0,4.25,5.0,5.0,5.0,True,2,1.03
21861,6.05e+17,within an hour,1.0,1.0,True,1.0,True,True,Copacabana,-22.97295,-43.19302,Private room,1,1.0,1.0,1.0,"[""Heating"", ""Washer"", ""Coffee maker"", ""Refrigerator"", ""Wifi"", ""Long term stays allowed"", ""Dishes and silverware"", ""Kitchen"", ""TV""]",True,False,False,False,False,False,False,False,100,1,365,359,3,3,5.0,4.67,4.67,5.0,5.0,5.0,4.67,True,1,0.58
21862,6.06e+17,within an hour,1.0,0.87,False,3.0,True,True,GlÃ³ria,-22.9228,-43.17345,Private room,1,1.0,1.0,2.0,"[""Free street parking"", ""Iron"", ""Essentials"", ""Microwave"", ""Room-darkening shades"", ""Window guards"", ""Kitchen"", ""Elevator"", ""Host greets you"", ""Clothing storage"", ""Bed linens"", ""Private entrance"", ""Lock on bedroom door"", ""Hair dryer"", ""Cooking basics"", ""Ethernet connection"", ""Shampoo"", ""Waterfront"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Pour-over coffee"", ""TV"", ""Body soap"", ""Paid parking off premises"", ""Hangers"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Refrigerator"", ""Ceiling fan"", ""Beachfront"", ""Mosquito net"", ""Safe"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Paid washer \u2013 In unit"", ""Pocket wifi"", ""Coffee maker"", ""Cleaning products"", ""Shared patio or balcony"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove"", ""Nespresso machine""]",False,True,True,False,False,False,False,False,100,3,365,355,5,5,5.0,5.0,4.8,5.0,5.0,4.8,5.0,False,3,1.56
21868,6.06e+17,within a day,0.9,0.87,False,2.0,True,True,Botafogo,-22.94885,-43.18921,Private room,1,1.0,1.0,1.0,"[""Air conditioning"", ""Shared fenced garden or backyard"", ""Hangers"", ""Private entrance"", ""Cooking basics"", ""Free street parking"", ""Iron"", ""Essentials"", ""Microwave"", ""Coffee maker"", ""Refrigerator"", ""Shampoo"", ""Cleaning products"", ""Shared patio or balcony"", ""Outdoor furniture"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Stove"", ""Free parking on premises""]",True,True,False,False,False,False,False,False,109,3,21,356,7,7,5.0,5.0,5.0,5.0,4.86,5.0,5.0,False,2,1.35
21871,6.06e+17,within a day,1.0,1.0,False,2.0,True,True,Engenho de Dentro,-22.89071,-43.29396,Private room,2,1.0,1.0,2.0,"[""Air conditioning"", ""Backyard"", ""Washer"", ""Wifi"", ""Outdoor shower"", ""BBQ grill"", ""Kitchen"", ""Shared pool"", ""TV""]",True,False,False,False,False,False,False,False,300,1,7,267,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,False,2,0.0
21886,6.02e+17,within an hour,1.0,1.0,False,1.0,True,False,Copacabana,-22.9634364,-43.1789164,Private room,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""Iron"", ""Essentials"", ""Washer"", ""Microwave"", ""Dining table"", ""Toaster"", ""Kitchen"", ""Elevator"", ""Bed linens"", ""Lock on bedroom door"", ""Hair dryer"", ""Cooking basics"", ""Oven"", ""Wifi"", ""Wine glasses"", ""Freezer"", ""Mini fridge"", ""TV"", ""Hangers"", ""Extra pillows and blankets"", ""Refrigerator"", ""Ceiling fan"", ""Drying rack for clothing"", ""Ar condicionado novo potente  conditioner"", ""Air conditioning"", ""Stainless steel stove"", ""Coffee maker"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Rice maker""]",True,False,False,False,True,False,False,False,130,5,90,344,7,7,5.0,5.0,4.86,5.0,5.0,5.0,4.71,True,1,1.33
21892,6.06e+17,within an hour,1.0,0.73,False,3.0,True,False,Santa Teresa,-22.9202,-43.18073,Private room,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""Free street parking"", ""Essentials"", ""Washer"", ""Dining table"", ""Clamp on table seat high chair"", ""Kitchen"", ""Private fenced garden or backyard"", ""Lock on bedroom door"", ""Oven"", ""Wifi"", ""TV"", ""Hangers"", ""Laundromat nearby"", ""Board games"", ""Drying rack for clothing"", ""Hot water kettle"", ""Portable fans"", ""Shared patio or balcony"", ""Hot water"", ""Long term stays allowed"", ""Gas stove""]",True,False,False,False,True,False,False,False,137,1,30,358,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,False,3,0.0
21894,6.02e+17,within an hour,1.0,0.94,False,1.0,True,False,JacarepaguÃ¡,-22.967857,-43.367123,Private room,1,1.0,1.0,1.0,"[""Heating"", ""Dryer"", ""Fast wifi \u2013 349 Mbps"", ""Lock on bedroom door"", ""Dedicated workspace"", ""Washer"", ""Coffee maker"", ""Refrigerator"", ""AC - split type ductless system"", ""Shared patio or balcony"", ""Long term stays allowed"", ""Dishes and silverware"", ""Kitchen"", ""TV"", ""Free parking on premises""]",False,False,False,False,True,False,False,False,120,1,30,46,16,16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,3.36
21901,6.08e+17,within an hour,1.0,0.73,False,3.0,True,False,Santa Teresa,-22.92005,-43.18062,Private room,1,1.0,1.0,1.0,"[""Children\u2019s books and toys"", ""Dedicated workspace"", ""Free street parking"", ""Iron"", ""Essentials"", ""Washer"", ""Dining table"", ""High chair"", ""Kitchen"", ""Private fenced garden or backyard"", ""Children\u2019s dinnerware"", ""Lock on bedroom door"", ""Hair dryer"", ""Oven"", ""Wifi"", ""TV"", ""Free parking on premises"", ""Hangers"", ""Laundromat nearby"", ""Refrigerator"", ""Board games"", ""Drying rack for clothing"", ""Hot water kettle"", ""Portable fans"", ""Coffee maker"", ""Shared patio or balcony"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove""]",True,False,False,False,True,False,False,False,76,1,30,358,7,7,4.86,5.0,5.0,5.0,5.0,4.86,4.86,False,3,1.38
21908,6.02e+17,within an hour,0.9,1.0,False,2.0,True,True,Vidigal,-22.994913,-43.2355,Private room,2,1.0,1.0,1.0,"[""Lock on bedroom door"", ""Wifi"", ""Outdoor shower"", ""Long term stays allowed"", ""Kitchen""]",True,False,False,False,False,False,False,False,150,1,365,364,0,0,4.72,4.8,4.72,4.88,4.87,4.87,4.68,True,2,0.0
21909,6.06e+17,within an hour,1.0,1.0,True,2.0,True,True,Ipanema,-22.981153,-43.199875,Private room,3,1.0,1.0,2.0,"[""Air conditioning"", ""Dryer"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Washer"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shampoo"", ""Hot water"", ""Wifi"", ""Long term stays allowed"", ""Kitchen""]",True,False,False,False,False,False,False,False,150,1,365,0,4,4,5.0,5.0,5.0,5.0,5.0,5.0,4.5,False,2,0.78
21911,6.02e+17,within an hour,1.0,1.0,False,1.0,True,True,Copacabana,-22.97018,-43.18732,Private room,3,1.0,1.0,2.0,"[""Lock on bedroom door"", ""Wifi"", ""Long term stays allowed"", ""Kitchen"", ""TV""]",True,False,False,False,False,False,False,False,120,3,30,311,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,3.0
21912,6.08e+17,within an hour,1.0,1.0,False,2.0,True,True,Vidigal,-22.99339,-43.23505,Private room,2,1.0,1.0,2.0,"[""Dedicated workspace"", ""Essentials"", ""Washer"", ""Microwave"", ""Dining table"", ""Pool"", ""Smoke alarm"", ""Kitchen"", ""Conditioner"", ""Paid parking on premises"", ""Lock on bedroom door"", ""Cooking basics"", ""Shampoo"", ""Oven"", ""Wifi"", ""BBQ grill"", ""Waterfront"", ""Carbon monoxide alarm"", ""Freezer"", ""TV"", ""Free parking on premises"", ""Refrigerator"", ""Air conditioning"", ""Fire extinguisher"", ""First aid kit"", ""Cleaning products"", ""Hot water"", ""Outdoor shower"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove""]",True,False,False,False,True,False,True,False,350,1,365,264,2,2,4.5,4.0,4.5,5.0,5.0,5.0,5.0,True,2,0.39
21925,6.03e+17,within a few hours,1.0,0.56,False,1.0,True,True,Leme,-22.962,-43.17042,Private room,2,1.5,1.0,1.0,"[""Dedicated workspace"", ""Essentials"", ""Washer"", ""Microwave"", ""Kitchen"", ""Host greets you"", ""Elevator"", ""Clothing storage"", ""Bed linens"", ""Cooking basics"", ""Security cameras on property"", ""Wifi"", ""Body soap"", ""Hangers"", ""Stove"", ""Laundromat nearby"", ""Refrigerator"", ""Ceiling fan"", ""Beachfront"", ""Drying rack for clothing"", ""Air conditioning"", ""Bidet"", ""Cleaning products"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""42\"" HDTV""]",True,False,True,False,True,False,False,True,120,1,1125,329,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,False,1,0.75
21934,6.06e+17,within an hour,1.0,0.9,False,4.0,True,True,Flamengo,-22.93988,-43.17814,Private room,1,1.0,1.0,1.0,"[""Hair dryer"", ""Iron"", ""Essentials"", ""Coffee maker"", ""Toaster"", ""Host greets you"", ""Cleaning products"", ""Pour-over coffee"", ""Wine glasses"", ""Dishes and silverware"", ""Stove""]",False,False,False,False,False,False,False,False,59,2,20,355,7,7,4.43,5.0,5.0,4.71,4.71,5.0,4.29,False,4,1.69
21936,6.07e+17,within a day,0.8,0.36,False,2.0,True,True,Santa Teresa,-22.9225,-43.19019,Private room,3,1.0,1.0,2.0,"[""Backyard"", ""Dedicated workspace"", ""Free street parking"", ""Essentials"", ""Washer"", ""Microwave"", ""Dining table"", ""Toaster"", ""Kitchen"", ""Clothing storage"", ""Lock on bedroom door"", ""Hair dryer"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Shampoo"", ""Wifi"", ""BBQ grill"", ""Mini fridge"", ""Bread maker"", ""TV"", ""Body soap"", ""Hangers"", ""Outdoor furniture"", ""Air conditioning"", ""First aid kit"", ""Barbecue utensils"", ""Coffee maker"", ""Outdoor dining area"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Rice maker"", ""Stove""]",True,False,True,False,True,False,False,False,200,3,365,364,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,2,0.2
21943,6.07e+17,within a few hours,1.0,0.78,False,3.0,True,True,Copacabana,-22.97582,-43.19004,Private room,2,1.5,1.0,1.0,"[""Lock on bedroom door"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""Kitchen"", ""TV""]",True,False,False,False,False,False,False,False,206,1,1125,364,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,3,3.0
21945,6.08e+17,within a day,0.6,0.5,False,3.0,True,True,Barra da Tijuca,-23.01048,-43.32083,Private room,1,1.0,1.0,1.0,"[""Air conditioning"", ""Lock on bedroom door"", ""Gym"", ""Pool"", ""Washer"", ""Wifi"", ""Outdoor shower"", ""Long term stays allowed"", ""Kitchen"", ""TV""]",True,False,False,False,False,False,False,False,309,1,365,365,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,3,2.0
